Id,Prediction
0,0.9962418561670305
1,0.9998201941116003
2,0.9990758304386529
3,1.407033167184208e-06
4,0.04580879826733184
5,0.9999966297195376
6,2.14856378869739e-05
7,0.00014355375044816358
8,0.9991368636311502
9,0.997459887834064
10,0.9959530480717207
11,0.9279002182661167
12,3.997881682395372e-05
13,5.300960561696467e-05
14,0.0029125811783302417
15,0.9790655912649261
16,0.9962069731112736
17,0.0043819287747397795
18,8.085417801553069e-06
19,0.7349861351809699
20,2.7347770672433226e-05
21,0.004881005402453306
22,0.005615847431079526
23,0.9999981837471835
24,7.631437283201799e-06
25,0.004387781103301495
26,0.9907566081686718
27,0.3442220722917978
28,0.9712987694203199
29,0.9999836523761073
30,0.995183270206881
31,0.9999937609908123
32,2.6771874478294632e-05
33,0.8043319887720615
34,0.9999906997923401
35,0.00036430982748837605
36,0.9999854783788734
37,0.9999835935640156
38,0.999734908304915
39,0.7937870505052128
40,0.9999754325205856
41,0.033411365292552786
42,0.00032924895141076666
43,8.034566933874517e-06
44,0.0017871564359906395
45,0.0015436272675830771
46,0.523835125220319
47,0.8094111411782404
48,0.9999140305225319
49,0.999992161725902
50,0.9972737215414316
51,0.9999999717259803
52,0.9995307669590426
53,1.7467031294177628e-05
54,0.9999998358994849
55,0.005301616462553051
56,0.9998179957430898
57,0.9748554252044391
58,0.9661904488006495
59,0.9989227016067322
60,4.745842763272724e-07
61,0.00010808270471514243
62,0.962962701165002
63,3.874496402674494e-07
64,0.995916937459096
65,0.9997532183830731
66,0.0009115173980940965
67,0.5767809168059745
68,0.9911083397034003
69,4.412078954775595e-08
70,1.9318428556885247e-06
71,0.9999113820729112
72,0.9999774372924515
73,0.9999997447667811
74,0.9991339112888238
75,0.9999876440832005
76,0.0007900044279768592
77,4.9672073332387895e-06
78,0.9999966089947961
79,0.9942908919161474
80,0.9999893578877136
81,1.8788589717113616e-05
82,0.016761861454225584
83,0.9694623386979792
84,0.9979202568111991
85,0.004221739280063575
86,0.999961905634661
87,0.0002869951303080222
88,0.9999998635376472
89,0.999998986619425
90,0.9990063837000428
91,0.0018173189185827785
92,1.7705127674274677e-05
93,0.9999957868437116
94,0.9992840190439911
95,0.8669649238114766
96,2.8241950823552746e-06
97,0.9998324020130487
98,4.0576358377985165e-05
99,0.9999981775457274
100,0.01217875515637835
101,0.9999334990596095
102,0.9666117539119142
103,0.002800075566620739
104,0.9962305589649665
105,0.00020383441860272858
106,0.002915232509170127
107,0.9999990977509732
108,2.072550624131641e-05
109,0.9999996111530194
